artistname,artistURL,day,starttime,endtime,venue,category
LuxDeluxe,https://schedule.sxsw.com/2018/artists/22529,"Mar 13, 2018",7:45pm , 8:15pm,Seven Grand,Rock
Luz Pinos,https://schedule.sxsw.com/2018/artists/20738,"Mar 14, 2018",12:00am , 12:40am,Stephen F's Bar,Latin
The Lvrds,https://schedule.sxsw.com/2018/artists/23692,"Mar 15, 2018",8:35pm , 8:45pm,Ironwood Hall,Hip Hop / Rap
LYLO,https://schedule.sxsw.com/2018/artists/21551,"Mar 14, 2018",12:25am , 1:05am,Hotel Vegas Annex,Pop
LYLO,https://schedule.sxsw.com/2018/artists/21551,"Mar 17, 2018",10:00pm , 10:40pm,The Velveeta Room,Pop
Lyons & Co.,https://schedule.sxsw.com/2018/artists/23526,"Mar 14, 2018",9:00pm , 9:25pm,Maggie Mae's,Blues
Lyric Michelle,https://schedule.sxsw.com/2018/artists/23728,"Mar 16, 2018",8:20pm , 8:30pm,Parish,Hip Hop / Rap
M3CCA,https://schedule.sxsw.com/2018/artists/23469,"Mar 17, 2018",10:20pm , 10:40pm,Sheraton BackYARD,R & B
Mackinazz Magilla,https://schedule.sxsw.com/2018/artists/23730,"Mar 17, 2018",11:50pm , 12:15am,Maggie Mae's,Hip Hop / Rap
MADDEE,https://schedule.sxsw.com/2018/artists/21935,"Mar 17, 2018",9:00pm , 9:40pm,Friends,Pop
Madison McFerrin,https://schedule.sxsw.com/2018/artists/19245,"Mar 15, 2018",11:00pm , 11:40pm,Malverde,Soul
Madison McFerrin,https://schedule.sxsw.com/2018/artists/19245,"Mar 14, 2018",1:00am , 1:50am,18th Over Austin,Soul
Mad Mexicans,https://schedule.sxsw.com/2018/artists/23740,"Mar 17, 2018",9:15pm , 9:45pm,Maggie Mae's,Rock
M A E S T R O,https://schedule.sxsw.com/2018/artists/23614,"Mar 16, 2018",12:40am , 12:55am,Parish,Hip Hop / Rap
Magic Bronson,https://schedule.sxsw.com/2018/artists/23088,"Mar 14, 2018",10:05pm , 10:25pm,Maggie Mae's,Rock
Magna Carda,https://schedule.sxsw.com/2018/artists/22687,"Mar 16, 2018",1:25am , 1:50am,Karma Lounge,Hip Hop / Rap
The Magnettes,https://schedule.sxsw.com/2018/artists/17673,"Mar 17, 2018",12:00am , 12:40am,Friends,Pop
MainMain,https://schedule.sxsw.com/2018/artists/23736,"Mar 15, 2018",8:55pm , 9:10pm,University Avenue Church of Christ,Hip Hop / Rap
Majestic Casual DJs,https://schedule.sxsw.com/2018/artists/23779,"Mar 16, 2018",7:55pm , 8:00pm,Bungalow,DJ
Majestic Casual DJs,https://schedule.sxsw.com/2018/artists/23779,"Mar 15, 2018",8:00pm , 9:00pm,Barcelona,DJ
Makana,https://schedule.sxsw.com/2018/artists/19353,"Mar 17, 2018",10:00pm , 10:40pm,CU29,World
Mala Bengala,https://schedule.sxsw.com/2018/artists/18402,"Mar 17, 2018",10:00pm , 10:40pm,720 Club,Rock
Mala Bengala,https://schedule.sxsw.com/2018/artists/18402,"Mar 16, 2018",10:15pm , 10:55pm,Speakeasy Kabaret,Rock
Mal Blum and The Blums,https://schedule.sxsw.com/2018/artists/19621,"Mar 13, 2018",11:45pm , 12:25am,The Sidewinder Inside,Punk
Mal Blum and The Blums,https://schedule.sxsw.com/2018/artists/19621,"Mar 16, 2018",8:45pm , 9:10pm,Cheer Up Charlie's,Punk
Mallrat,https://schedule.sxsw.com/2018/artists/20836,"Mar 14, 2018",11:20pm , 12:00am,The Sidewinder Outside,Pop
Mallrat,https://schedule.sxsw.com/2018/artists/20836,"Mar 16, 2018",12:00am , 12:40am,Lucille,Pop
Mal & Quill,https://schedule.sxsw.com/2018/artists/23702,"Mar 14, 2018",10:50pm , 11:05pm,Ironwood Hall,Hip Hop / Rap
Mama Duke,https://schedule.sxsw.com/2018/artists/22565,"Mar 17, 2018",8:45pm , 9:00pm,Tap Room at The Market,Hip Hop / Rap
MANEKA,https://schedule.sxsw.com/2018/artists/21612,"Mar 16, 2018",9:40pm , 10:25pm,The Velveeta Room,Rock
"Manny Mondragon (Austin, TX) vs Tyler Pacheco (Tyler, TX)",https://schedule.sxsw.com/2018/artists/23852,"Mar 17, 2018",None,TBD,TBD,TBD
